순번,본부명,소방서,주소,전화번호,FAX,latitude,longitude
1,서울소방재난본부,강남소방서,서울특별시 강남구 테헤란로 629 (삼성동),02-6981-7408,02-556-2119,37.5066071,127.0546799
2,서울소방재난본부,강동소방서,서울특별시 강동구 성내로 39 (성내동),02-6981-7600,02-6981-7717,37.52875554,127.1254049
3,서울소방재난본부,강북소방서,서울특별시 강북구 한천로 911 (번동),02-6946-0100,02-6946-0128,37.636261,127.0321732
4,서울소방재난본부,강서소방서,서울특별시 강서구 양천로 550 (등촌동),02-6981-5000,02-2187-8243,37.55824607,126.860047
5,서울소방재난본부,관악소방서,서울특별시 관악구 관악로 97 (봉천동),02-6981-8200,02-877-4119,37.47412481,126.9526855
6,서울소방재난본부,광진소방서,서울특별시 광진구 광나루로 480 (구의동),02-6981-6600,02-6981-6718,37.5448355,127.082865
7,서울소방재난본부,구로소방서,서울특별시 구로구 경인로 408 (고척동),02-2617-0119,02-2619-0121,37.49779283,126.8652158
8,서울소방재난본부,금천소방서,서울특별시 금천구 시흥대로 342(독산동),02-6981-6479,02-2187-8380,37.46413583,126.8979341
9,서울소방재난본부,노원소방서,서울특별시 노원구 한글비석로 1길 8 (하계동),02-6981-6800,02-979-6119,37.63825496,127.071107
10,서울소방재난본부,도봉소방서,서울특별시 도봉구 도봉로 666 (방학동),02-6981-8073,02-3493-1119,37.66400647,127.043019
11,서울소방재난본부,동대문소방서,서울특별시 동대문구 장한로 34 (장안동),02-6942-1200,02-2187-8180,37.56148895,127.0645894
12,서울소방재난본부,동작소방서,서울특별시 동작구 여의대방로16길 55 (신대방동),02-6913-7770,02-848-2111,37.49467213,126.9177186
13,서울소방재난본부,마포소방서,서울특별시 마포구 창전로 76 (신수동),02-6981-7800,02-716-1192,37.54939385,126.9332032
14,서울소방재난본부,서대문소방서,서울특별시 서대문구 연희로 182 (연희동),02-6981-5400,02-6981-5519,37.5658347,126.928954
15,서울소방재난본부,서초소방서,서울특별시 서초구 사평대로 67 (반포동),02-6981-5811,02-592-9090,37.49866898,126.9917179
16,서울소방재난본부,성동소방서,서울특별시 성동구 살곶이길 331(행당동),02-2622-1600,02-2622-1719,37.55387886,127.0395198
17,서울소방재난본부,성북소방서,서울특별시 성북구 종암로 27길 3 (종암동),02-6981-7200,02-925-0119,37.60243958,127.0316858
18,서울소방재난본부,송파소방서,서울특별시 송파구 오금로51길 56 (마천동),02-6981-5200,02-430-8119,37.49983345,127.1425919
19,서울소방재난본부,양천소방서,서울특별시 양천구 목동서로 180 (목동),02-6981-8600,02-2651-6119,37.5156163,126.8606084
20,서울소방재난본부,영등포소방서,서울특별시 영등포구 문래로 197 (영등포동4가),02-6981-7000,02-6981-7110,37.5184916,126.9032346
21,서울소방재난본부,용산소방서,서울특별시 용산구 한강대로 167 (한강로2가),02-6943-1400,02-792-5117,37.53410744,126.9715065
22,서울소방재난본부,은평소방서,서울특별시 은평구 통일로 962 (진관동),02-6981-6000,02-382-1149,37.63268455,126.9118137
23,서울소방재난본부,종로소방서,서울특별시 종로구 율곡로 78(운니동),02-733-0119,02-739-0119,37.62875652,126.9197881
24,서울소방재난본부,중랑소방서,서울특별시 중랑구 신내로 183 (신내동),02-6981-8800,02-3421-3911,37.6133422,127.0976149
25,서울소방재난본부,중부소방서,서울특별시 중구 퇴계로 394(무학동),02-6981-0119,02-2252-1516,37.56486646,127.0153786
26,부산소방재난본부,강서소방서,부산광역시 강서구 녹산산단361로 9(송정동),051-760-5001,051-760-5069,35.0895966,128.8567938
27,부산소방재난본부,금정소방서,부산광역시 금정구 중앙대로 1789(부곡동),051-760-4701,051-760-4719,35.24388097,129.0923792
28,부산소방재난본부,기장소방서,부산광역시 기장군 정관읍 용수로 7(정관읍),051-760-5100,051-760-5119,35.32481807,129.1798997
29,부산소방재난본부,남부소방서,부산광역시 수영구 광일로 64(광안동),051-760-4808,051-760-4819,35.16316152,129.1070417
30,부산소방재난본부,동래소방서,부산광역시 연제구 고분로 216(연산동),051-760-4301,051-760-4329,35.1843174,129.1054987
31,부산소방재난본부,부산진소방서,부산광역시 부산진구 서전로 43(전포동),051-760-4201,051-760-4229,35.158073,129.0646345
32,부산소방재난본부,북부소방서, 부산광역시 북구 금곡대로 680(금곡동),051-760-5201,051-760-5219,35.26733663,129.0176169
33,부산소방재난본부,사상소방서,부산광역시 사상구 삼덕로 17(삼락동),051-760-4401,051-760-4419,35.17455246,128.9787572
34,부산소방재난본부,사하소방서,부산광역시 사하구 장평로 270(신평동),051-760-4501,051-760-4529,35.09063739,128.9734122
35,부산소방재난본부,중부소방서,부산광역시 중구 중앙대로 110(중앙동4가),051-760-4101,051-760-4119,35.1071098,129.0367298
36,부산소방재난본부,항만소방서,부산광역시 영도구 해양로 297(동삼동),051-760-4901,051-760-4919,35.0817881,129.0768638
37,부산소방재난본부,해운대소방서,부산광역시 해운대구 해운대해변로 106(우동),051-760-4601,051-760-6681,35.1595605,129.1437034
38,대구소방안전본부,강북소방서,대구광역시 북구 구암서로 71,053-607-5801,053-607-5819,35.94286985,128.5655279
39,대구소방안전본부,강서소방서,대구광역시 달성군 다사읍 달구벌대로 920,053-601-4601,053-592-2119,35.85554585,128.4672691
40,대구소방안전본부,달서소방서,대구광역시 달서구 학산로 75,053-607-2801,053-635-0532,35.83110543,128.5353561
41,대구소방안전본부,달성소방서,대구광역시 달성군 현풍읍 비슬로 480,053-602-4801,053-602-4820,35.69205795,128.4425174
42,대구소방안전본부,동부소방서,대구광역시 동구 동대구로 507,053-601-4301,053-742-6119,35.87909429,128.6270371
43,대구소방안전본부,북부소방서,대구광역시 북구 칠성남로 112,053-350-4701,053-350-4719,35.87837419,128.5917486
44,대구소방안전본부,서부소방서,대구광역시 서구 달서천로 186,053-320-4401,053-357-1803,35.88054274,128.5778472
45,대구소방안전본부,수성소방서,대구광역시 수성구 청호로 87,053-607-3701,053-607-3729,35.8252748,128.6445488
46,대구소방안전본부,중부소방서,대구광역시 중구 달구벌대로 1926,053-601-4500,053-256-6119,35.86248433,128.6057461
47,인천소방안전본부,강화소방서,인천광역시 강화군 불은면 중앙로 505,032-930-5801,032-930-5842,37.7120684,126.4583375
48,인천소방안전본부,검단소방서,인천광역시 서구 원당대로736,032-590-2700,032-590-2718,37.59363428,126.6824784
49,인천소방안전본부,계양소방서,인천광역시 계양구 장제로774,032-650-5601,032-555-8116,37.53705426,126.734918
50,인천소방안전본부,공단소방서,인천광역시 남동구 남동서로 208,032-723-5502,032-814-1191,37.41732762,126.7000973
51,인천소방안전본부,남동소방서,인천광역시 남동구 인주대로 714,032-870-5200,032-870-5216,37.44851377,126.7290379
52,인천소방안전본부,미추홀소방서,인천광역시 미추홀구 인하로 190,032-870-3200,032-870-3285,37.44856876,126.67193
53,인천소방안전본부,부평소방서,인천광역시 부평구 부평대로 324,032-723-5301,032-361-0119,37.52144435,126.7219319
54,인천소방안전본부,서부소방서,인천광역시 서구 서곶로 326,032-723-5401,032-562-1137,37.56960619,126.6764711
55,인천소방안전본부,송도소방서,인천광역시 연수구 첨단대로60번길 15,032-810-6600,032-810-6613,37.36564893,126.6494307
56,인천소방안전본부,영종소방서,인천광역시 중구 제2터미널대로 268,032-727-6101,032-727-6137,37.46997241,126.4388039
57,인천소방안전본부,중부소방서,인천광역시 중구 인중로 204,032-870-5101,032-870-5116,37.47582173,126.6161005
58,광주소방안전본부,광산소방서,광주광역시 광산구 하남산단1번로 13(하남동),062-613-8801,062-613-8819,35.18603559,126.796564
59,광주소방안전본부,남부소방서,광주광역시 남구 송암로58번길 13(송하동),062-613-8601,062-613-8619,35.11050757,126.8783407
60,광주소방안전본부,동부소방서,광주광역시 동구 제봉로 210(대인동),062-613-8401,062-613-8419,35.1545621,126.9146548
61,광주소방안전본부,북부소방서,광주광역시 북구 서하로 290(오치동),062-613-8701,062-613-8719,35.18628841,126.9120071
62,광주소방안전본부,서부소방서,광주광역시 서구 화운로 197(화정동),062-613-8501,062-613-8519,35.15669432,126.8762254
63,대전소방본부,동부소방서,대전광역시 동구 계족로 300,042-270-1300,042-270-1360,36.33512568,127.4393031
64,대전소방본부,둔산소방서,대전광역시 서구 갈마중로 15,042-270-1400,042-270-1460,36.3479455,127.3711321
65,대전소방본부,대덕소방서,대전광역시 대덕구 계족로 682,042-270-1500,042-270-1560,36.36609007,127.4303204
66,대전소방본부,유성소방서,대전광역시 유성구 대덕대로 516,042-270-1600,042-270-1660,36.3791285,127.379031
67,대전소방본부,서부소방서,대전광역시 서구 복수서로 67,042-270-1700,042-270-1760,36.30932695,127.3723569
68,울산소방본부,남부소방서,울산광역시 삼산중로 149,052-210-4700,052-229-7964,35.54448006,129.3356585
69,울산소방본부,남울주소방서,울산광역시 울주군 덕신로 232,052-241-6600,052-229-7967,35.4370912,129.2887054
70,울산소방본부,동부소방서,울산광역시 동구 꽃바위2가길 9,052-279-6300,052-229-7965,35.4828437,129.4131586
71,울산소방본부,북부소방서,울산광역시 북구 화동로 178,052-229-8000,052-229-7966,35.5925094,129.3693026
72,울산소방본부,서울주소방서,울산광역시 울주군 도호길 72-37,052-241-2480,052-229-7968,35.54972568,129.1404678
73,울산소방본부,중부소방서,울산광역시 중구 종가로 205,052-210-4401,052-229-7963,35.5813832,129.3408453
74,세종소방본부,세종소방서,세종특별자치시 절재로 301(어진동),044-300-8401,044-864-2119,36.50628329,127.2736615
75,세종소방본부,조치원소방서,세종특별자치시 조치원읍 세종로 2439,044-300-8301,044-868-2919,36.60448785,127.2889692
76,경기재난안전본부,수원소방서,경기도 수원시 장안구 정자천로 189번길 12,031-8012-9215,031-280-8515,37.29719913,126.9959931
77,경기재난안전본부,수원남부소방서,경기도 수원시 권선구 동수원로 286,031-639-8100,031-280-8877,37.25594479,127.0364321
78,경기재난안전본부,성남소방서,경기도 성남시 중원구 마지로 64,031-720-0100,031-280-8533,37.42785705,127.1373161
79,경기재난안전본부,분당소방서,경기도 성남시 분당구 양현로 14,031-8018-3100,031-280-8544,37.38598375,127.1194523
80,경기재난안전본부,부천소방서,경기도 부천시 원미구 신흥로 115,032-650-4119,031-280-8576,37.4860927,126.7766596
81,경기재난안전본부,안양소방서,경기도 안양시 동안구 관평로212번길 32 (관양동),031-470-0102,031-280-8592,37.39600608,126.9607865
82,경기재난안전본부,안산소방서,경기도 안산시 단원구 화랑로 407 (고잔동),031-470-7100,031-280-8603,37.3217356,126.8329588
83,경기재난안전본부,용인소방서,경기도 용인시 처인구 명지로 45,031-8021-0100,031-280-8618,37.22634464,127.1992679
84,경기재난안전본부,용인서부소방서,경기도 용인시 기흥구 용구대로2145번길 15,031-6190-3100,031-280-8871,37.28029577,127.1044473
85,경기재난안전본부,평택소방서,경기도 평택시 중앙로 273(비전동),031-8053-6100,,36.99045448,127.1128466
86,경기재난안전본부,송탄소방서,경기도 평택시 경기대로 1627(신장동),031-685-8100,031-280-8668,37.0896975,127.0622222
87,경기재난안전본부,광명소방서,경기도 광명시 금하로 472,02-2610-3100,031-280-8679,37.44871835,126.8851164
88,경기재난안전본부,시흥소방서,경기도 시흥시 정왕신길로 206,031-310-0100,031-280-8688,37.34577087,126.7462635
89,경기재난안전본부,군포소방서,경기도 군포시 고산로 429,031-479-8100,031-280-8697,37.3525693,126.9270857
90,경기재난안전본부,화성소방서,경기도 화성시 향남읍 향남로 399,031-8012-6100,031-280-8845,37.123085,126.9196337
91,경기재난안전본부,이천소방서,경기도 이천시 경충대로 2739,031-645-5100,,37.28204145,127.4316688
92,경기재난안전본부,김포소방서,경기도 김포시 감암로 111,031-980-4100,031-280-8734,37.63824673,126.7101687
93,경기재난안전본부,광주소방서,경기도 광주시 초월읍 무들로 112,031-799-2100,031-280-8759,37.3872868,127.2959881
94,경기재난안전본부,안성소방서,경기도 안성시 미양로 855,031-678-4100,031-280-8769,37.0003563,127.2560613
95,경기재난안전본부,하남소방서,경기도 하남시 대청로 76 (신장동),031-799-4502,,37.53990105,127.2204234
96,경기재난안전본부,의왕소방서,경기도 의왕시 오봉로 9,031-596-0100,031-280-8858,37.34418945,126.9748564
97,경기재난안전본부,오산소방서,경기도 오산시 문헌공로 30,031-8059-7103,031-280-8787,37.17530747,127.053823
98,경기재난안전본부,여주소방서,경기도 여주시 우암로 110,031-887-7100,031-280-8794,37.29497273,127.6312941
99,경기재난안전본부,양평소방서,경기도 양평군 양평읍 경강로 2047 ,031-770-0100,031-280-8802,37.50036975,127.5074312
100,경기재난안전본부,과천소방서,경기도 과천시 통영로 12,02-331-4100,031-230-8818,37.42844814,126.9901523
101,경기북부소방재난본부,가평소방서,경기도 가평군 가평읍 가화로 36번길,031-580-0102,031-280-8866,37.82330914,127.5165913
102,경기북부소방재난본부,고양소방서,경기도 고양시 덕양구 고양대로 1342,031-931-0100,031-280-8554,37.6550365,126.8333658
103,경기북부소방재난본부,구리소방서,경기도 구리시 아차산로 487번길 46,031-570-6100,031-280-8727,37.59828997,127.1278329
104,경기북부소방재난본부,남양주소방서,경기도 남양주시 평내로 25,031-590-0102,031-280-8646,37.6431633,127.2324425
105,경기북부소방재난본부,동두천소방서,경기도 동두천시 지행로 6,031-830-5100,031-280-8510,37.89254848,127.0568256
106,경기북부소방재난본부,양주소방서,경기도 양주시 백석읍 꿈나무로 156,031-849-8100,031-280-8833,37.79598875,126.9893696
107,경기북부소방재난본부,연천소방서,경기도 연천군 전곡읍 평화로 892,031-830-0100,031-830-0219,38.04385383,127.0683617
108,경기북부소방재난본부,의정부소방서,경기도 의정부시 금오로23번길 22-40,031-849-7100,031-280-8636,37.75488805,127.06804
109,경기북부소방재난본부,일산소방서,경기도 고양시 일산동구 중앙로 1325,031-930-0102,031-280-8564,37.66324685,126.7697074
110,경기북부소방재난본부,파주소방서,경기도 파주시 통일로 1564,031-956-9100,031-956-9219,37.84660382,126.7894368
111,경기북부소방재난본부,포천소방서,경기도 포천시 군내면 호국로 1538 ,031-538-5100,031-280-8747,37.89115146,127.2017863
112,강원소방본부,강릉소방서,강원특별자치도 강릉시 선수촌로 64-28,033-643-3119,033-610-8209,37.75380572,128.8659556
113,강원소방본부,고성소방서,강원특별자치도 고성군 간성읍 수성로 37-11,033-680-7212,033-680-7209,38.37845349,128.4640825
114,강원소방본부,동해소방서,강원특별자치도 동해시 천곡로 120,033-533-2119,033-530-8209,37.52456827,129.1174966
115,강원소방본부,삼척소방서,강원특별자치도 삼척시 봉황로 101,033-570-8212,033-570-8209,37.44581112,129.1707992
116,강원소방본부,속초소방서,강원특별자치도 속초시 미시령로 3226,033-630-2212,033-630-2209,38.20430205,128.5618773
117,강원소방본부,양구소방서,강원특별자치도 양구군 양구읍 중심로 92,033-480-4212,033-480-4209,38.09696753,127.9945231
118,강원소방본부,양양소방서,강원특별자치도 양양군 양양읍 남대천로 33,033-639-7212,033-639-7209,38.06619387,128.6195439
119,강원소방본부,영월소방서,강원특별자치도 영월군 영월읍 영월로 1863,033-371-7212,033-371-7209,37.19485992,128.4542666
120,강원소방본부,원주소방서,강원특별자치도 원주시 동부순환로 201(반곡동),033-763-4119,033-769-1209,37.33371974,127.9731329
121,강원소방본부,인제소방서,강원특별자치도 인제군 인제읍 비봉로 44번길 71,033-460-9212,033-460-9209,38.06131629,128.1686327
122,강원소방본부,정선소방서,강원특별자치도 정선군 정선읍 녹송로 27,033-560-6212,033-560-6209,37.38075765,128.6720552
123,강원소방본부,철원소방서,강원특별자치도 철원군 갈말읍 태봉로 1504,033-450-2212,033-450-2209,38.18491226,127.3041568
124,강원소방본부,춘천소방서,강원특별자치도 춘천시 후석로 446,033-241-0119,033-248-9209,37.88311322,127.7478618
125,강원소방본부,태백소방서,강원특별자치도 태백시 태백로 1120,033-550-8212,033-550-8209,37.09751479,129.0159952
126,강원소방본부,평창소방서,강원특별자치도 평창군 평창읍 살구실길 10,033-339-8100,033-339-8209,37.37813179,128.3893009
127,강원소방본부,홍천소방서,강원특별자치도 홍천군 홍천읍 공작산로 99,033-439-2212,033-439-2209,37.69383269,127.8940186
128,강원소방본부,화천소방서,강원특별자치도 화천군 하남면 위라리길 47,033-440-7212,033-440-7209,38.09780705,127.7133901
129,강원소방본부,횡성소방서,강원특별자치도 횡성군 횡성읍 문예로 157,033-340-9212,033-340-9209,37.4935472,127.9797751
130,충북소방본부,청주동부소방서,충청북도 청주시 상당구 영운로 61,043-251-0104,043-251-0115,36.62830207,127.4916552
131,충북소방본부,청주서부소방서,충청북도 청주시 흥덕구 가경로 143,043-249-9201,043-249-9265,36.63057329,127.4358739
132,충북소방본부,충주소방서,충청북도 충주시 목행산단7로 9,043-841-3100,043-841-3119,37.00431342,127.9217529
133,충북소방본부,제천소방서,충청북도 제천시 신죽하로 164,043-641-7201,043-641-7139,37.15871956,128.2236363
134,충북소방본부,보은소방서,충청북도 보은군 보은읍 남부로 4415,043-773-0100,043-773-0119,36.46529541,127.7279325
135,충북소방본부,옥천소방서,충청북도 옥천군 옥천읍 중앙로 132,043-730-1800,043-730-1819,36.29926887,127.5685092
136,충북소방본부,영동소방서,충청북도 영동군 영동읍 영동황간로 174,043-740-7000,043-740-7019,36.16545777,127.788267
137,충북소방본부,증평소방서,충청북도 증평군 충청대로 1789,043-830-0100,043-830-0151,36.78071863,127.5688241
138,충북소방본부,진천소방서,충청북도 진천군 진천읍 진광로 93,043-539-8110,043-539-8129,36.87039187,127.4413538
139,충북소방본부,괴산소방서,충청북도 괴산군 괴산읍 괴강로 69,043-760-0100,043-760-0129,36.80935116,127.796441
140,충북소방본부,음성소방서,충청북도 음성군 금왕읍 응천서길 11,043-880-0201,043-880-0199,36.99097868,127.595162
141,충북소방본부,단양소방서,충청북도 단양군 단양읍 삼봉로 421-56,043-767-4100,043-767-4119,36.9896086,128.3566722
142,충남소방본부,계룡소방서,충청남도 계룡시 엄사면 문화로 32,042-540-5200,042-540-5219,36.27431377,127.2328318
143,충남소방본부,공주소방서,충청남도 공주시 무령로 55,041-851-0201,041-851-0219,36.45677563,127.1359325
144,충남소방본부,금산소방서,충청남도 금산군 금산읍 삼풍로 2,041-750-1201,041-750-1219,36.09488812,127.4839377
145,충남소방본부,논산소방서,충청남도 논산시 대학로 17,041-730-0201,041-730-0219,36.1782677,127.1003892
146,충남소방본부,당진소방서,충청남도 당진시 역천로 838,041-350-5201,041-350-5219,36.82336914,126.6012245
147,충남소방본부,보령소방서,충청남도 보령시 성주산로 63,041-930-0201,041-930-0219,36.33276253,126.6085295
148,충남소방본부,부여소방서,충청남도 부여군 규암면 계백로 17,041-830-0200,041-830-0219,36.27605392,126.9003534
149,충남소방본부,서산소방서,충청남도 서산시 호수공원 14로 26-4,041-689-0200,041-689-0219,36.77330317,126.4449059
150,충남소방본부,서천소방서,충청남도 서천군 장항읍 장항로 37,041-955-0201,041-955-0219,36.0135189,126.6829559
151,충남소방본부,아산소방서,충청남도 아산시 모종로 77,041-538-0201,041-538-0219,36.78610885,127.0255772
152,충남소방본부,예산소방서,충청남도 예산군 오가면 오가중앙로 111,041-330-4201,041-330-4219,36.68800221,126.7976255
153,충남소방본부,천안동남소방서,충청남도 천안시 동남구 천안대로 580,041-570-0201,041-570-0219,36.79390875,127.1646436
